date,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume
2020-01-01 00:00:00,7195.24,7196.25,7175.46,7177.02,511.814901,3675856.57948543,7640.0,226.153126,1624289.18965037
2020-01-01 01:00:00,7176.47,7230.0,7175.71,7216.27,883.052603,6365952.54111276,9033.0,570.721419,4114804.04969093
2020-01-01 02:00:00,7215.52,7244.87,7211.41,7242.85,655.156809,4736719.38819138,7466.0,357.180263,2582513.82508776
2020-01-01 03:00:00,7242.66,7245.0,7220.0,7225.01,783.724867,5667367.29300603,8337.0,394.810811,2854987.35529137
2020-01-01 04:00:00,7225.0,7230.0,7215.03,7217.27,467.812578,3379093.84979077,5896.0,243.514706,1759053.44836794
2020-01-01 05:00:00,7217.26,7229.76,7216.65,7224.21,344.670596,2489507.24663728,6529.0,194.898525,1407859.39772595
2020-01-01 06:00:00,7224.24,7236.27,7221.51,7225.62,621.467023,4493048.24570801,9718.0,288.40033,2085093.09034902
2020-01-01 07:00:00,7225.88,7232.94,7199.11,7209.83,627.344854,4528532.93295699,7848.0,322.897675,2330844.43949271
2020-01-01 08:00:00,7209.83,7210.0,7180.0,7200.64,915.545974,6584766.36902302,8847.0,440.887464,3171436.98880032
2020-01-01 09:00:00,7200.29,7210.51,7188.0,7188.77,636.386102,4580279.61372286,7177.0,287.518333,2069473.90367405
2020-01-01 10:00:00,7189.07,7210.0,7185.2,7202.0,537.762804,3872434.23941144,6417.0,288.278481,2075906.2694043
2020-01-01 11:00:00,7202.01,7237.73,7188.61,7197.2,1076.959481,7769838.36840155,11066.0,545.660036,3936878.73439429
2020-01-01 12:00:00,7197.2,7233.33,7196.15,7225.59,868.75358,6269445.53871061,9402.0,504.454945,3640707.64255483
2020-01-01 13:00:00,7225.84,7231.89,7212.88,7221.2,612.180902,4421321.60662347,7240.0,323.270645,2334754.37112301
2020-01-01 14:00:00,7221.17,7234.97,7208.17,7221.43,617.714185,4461596.1374092,8130.0,317.526088,2293469.15010773
2020-01-01 15:00:00,7221.6,7255.0,7218.29,7234.19,1393.888792,10083196.37797081,11777.0,941.027441,6807778.16446788
2020-01-01 16:00:00,7234.2,7246.42,7214.0,7245.37,881.93278,6373549.30719837,9499.0,454.718045,3286159.42922481
2020-01-01 17:00:00,7244.34,7249.99,7224.92,7236.83,1069.210567,7740371.19418923,9809.0,688.263371,4982656.31043735
2020-01-01 18:00:00,7237.02,7246.72,7225.17,7240.67,611.693307,4426678.3931608,7712.0,322.847276,2336417.57816526
2020-01-01 19:00:00,7240.8,7241.0,7225.49,7229.48,417.746637,3021175.27526242,5857.0,207.231902,1498924.74940944
2020-01-01 20:00:00,7229.48,7242.98,7224.68,7236.73,391.834174,2834515.14512445,5465.0,198.754804,1437840.00843916
2020-01-01 21:00:00,7237.26,7242.75,7227.0,7233.17,285.454078,2064937.49397016,5114.0,142.477244,1030734.20312295
2020-01-01 22:00:00,7233.32,7234.49,7186.0,7197.99,769.030411,5542964.53489558,10399.0,356.771351,2571743.12046796
2020-01-01 23:00:00,7197.62,7204.17,7175.15,7200.85,811.25016,5831304.44409966,7632.0,328.691254,2363459.79288495
2020-01-02 00:00:00,7200.77,7212.5,7185.46,7211.02,391.352377,2817911.98887722,5470.0,219.086231,1577568.03905161
2020-01-02 01:00:00,7211.04,7211.16,7185.11,7190.99,402.660139,2897039.58051895,5929.0,200.653186,1443624.51097343
2020-01-02 02:00:00,7190.99,7191.0,7155.35,7169.02,1387.377886,9943525.16584881,14716.0,616.319998,4417102.36345964
2020-01-02 03:00:00,7169.04,7169.06,7120.37,7129.61,1557.96443,11131079.15308483,15206.0,703.175028,5024808.11047959
2020-01-02 04:00:00,7129.25,7161.0,7116.7,7142.21,1252.447877,8947150.49263407,12565.0,585.156163,4180224.69166626
2020-01-02 05:00:00,7142.61,7152.05,7126.93,7138.93,569.50899,4066462.76858519,6580.0,255.598664,1825253.73063505
2020-01-02 06:00:00,7138.93,7149.02,7121.43,7135.97,687.600665,4908674.72695562,7669.0,326.44149,2330464.34617112
2020-01-02 07:00:00,7136.04,7140.63,7105.0,7110.57,1548.403823,11023285.84536549,13939.0,647.345403,4608644.13367406
2020-01-02 08:00:00,7110.98,7157.48,7109.11,7154.36,1114.825128,7958329.31048351,11622.0,525.101341,3748242.38788132
2020-01-02 09:00:00,7153.57,7165.0,7135.36,7162.01,840.001328,6004950.12191941,8198.0,503.957776,3602819.28248269
2020-01-02 10:00:00,7162.18,7180.0,7153.33,7161.83,1446.219984,10364146.50181785,13126.0,721.573927,5171512.34772568
2020-01-02 11:00:00,7161.89,7168.67,7139.03,7139.79,761.15657,5444262.39000687,8556.0,372.300494,2662942.02870947
2020-01-02 12:00:00,7139.73,7163.4,7139.03,7158.29,794.030497,5679917.25953634,8754.0,419.734423,3001938.64426683
2020-01-02 13:00:00,7158.86,7163.35,7107.43,7131.15,1566.280693,11164418.96099547,13621.0,587.957591,4192179.40940987
2020-01-02 14:00:00,7131.18,7157.1,7122.34,7135.59,956.300925,6824754.43568179,10776.0,506.151111,3612543.46888326
2020-01-02 15:00:00,7135.59,7152.0,7120.0,7130.98,862.429718,6152565.70967462,8782.0,415.47998,2964690.7401395
2020-01-02 16:00:00,7130.37,7146.85,7020.0,7052.32,3604.474152,25521442.62790364,27013.0,1381.175239,9779570.25234402
2020-01-02 17:00:00,7052.32,7053.09,6924.74,6970.04,6183.82554,43147556.90011087,45957.0,3059.636141,21348749.32147337
2020-01-02 18:00:00,6970.04,6989.68,6949.96,6974.02,1513.597939,10548349.67576966,13965.0,855.756233,5963783.67776304
2020-01-02 19:00:00,6974.02,6995.0,6960.0,6983.27,1397.130602,9750502.50522138,14642.0,689.318398,4810485.02383321
2020-01-02 20:00:00,6982.63,6983.22,6941.27,6948.49,1138.646334,7926144.83997666,10215.0,498.334346,3469523.01154902
2020-01-02 21:00:00,6948.16,6985.0,6946.2,6977.73,665.856715,4638526.40916631,8036.0,357.644086,2492015.01290193
2020-01-02 22:00:00,6977.55,6978.24,6963.02,6974.8,568.324029,3961003.44450627,8665.0,283.307609,1974540.72856368
